,市场可交易,平均价格,最低价格
1218,-1,-1,-1
1219,-1,-1,-1
1220,-1,-1,-1
1221,-1,-1,-1
1222,-1,-1,-1
1223,1,1.14,1.18
1224,0,0,0
1225,1,5.4,5.6
1226,1,1.96,1.85
1227,1,9.37,9.44
1228,1,1.61,1.73
1229,1,1.69,1.68
1230,-1,-1,-1
1231,-1,-1,-1
1232,-1,-1,-1
1233,-1,-1,-1
1234,-1,-1,-1
1235,-1,-1,-1
1236,-1,-1,-1
1237,-1,-1,-1
1238,-1,-1,-1
1239,-1,-1,-1
1240,-1,-1,-1
1241,-1,-1,-1
1242,-1,-1,-1
1243,-1,-1,-1
1244,-1,-1,-1
1245,-1,-1,-1
1246,-1,-1,-1
1247,-1,-1,-1
1248,-1,-1,-1
1249,-1,-1,-1
1250,-1,-1,-1
1251,-1,-1,-1
1252,-1,-1,-1
1253,-1,-1,-1
1254,-1,-1,-1
1255,-1,-1,-1
1256,-1,-1,-1
1257,-1,-1,-1
